customer_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
5,sugar,2023-05-26,"[7, 8, 9]",50,3,150,UPI
20,clinic plus,2023-05-26,"[1, 2, 3]",1.5,4,6.0,cash
20,besan,2023-05-26,"[1, 2, 3]",52,3,156,UPI
13,refined oil,2023-05-26,"[1, 2, 3]",110,3,330,cash
10,maida,2023-05-26,"[1, 2, 3]",20,7,140,UPI
7,quaker oats,2023-05-26,"[7, 8, 9]",212,2,424,cash
16,nutrella,2023-05-26,"[7, 8, 9]",40,4,160,cash
14,sugar,2023-05-26,"[7, 8, 9]",50,7,350,UPI
16,refined oil,2023-05-26,"[1, 2, 3]",110,2,220,UPI
7,maida,2023-05-26,"[7, 8, 9]",20,5,100,cash
12,maida,2023-05-26,"[7, 8, 9]",20,6,120,cash
18,refined oil,2023-05-26,"[7, 8, 9]",110,10,1100,UPI
3,clinic plus,2023-05-26,"[1, 2, 3]",1.5,6,9.0,cash
9,quaker oats,2023-05-26,"[7, 8, 9]",212,5,1060,UPI
17,clinic plus,2023-05-26,"[1, 2, 3]",1.5,1,1.5,cash
9,besan,2023-05-26,"[7, 8, 9]",52,5,260,UPI
7,sugar,2023-05-26,"[7, 8, 9]",50,10,500,UPI
4,sugar,2023-05-26,"[4, 5, 6]",50,2,100,cash
16,sugar,2023-05-26,"[7, 8, 9]",50,8,400,cash
19,clinic plus,2023-05-26,"[4, 5, 6]",1.5,7,10.5,UPI
2,quaker oats,2023-05-26,"[7, 8, 9]",212,5,1060,UPI
13,maida,2023-05-26,"[4, 5, 6]",20,9,180,UPI
17,besan,2023-05-26,"[4, 5, 6]",52,7,364,cash
4,quaker oats,2023-05-26,"[7, 8, 9]",212,2,424,cash
8,refined oil,2023-05-26,"[1, 2, 3]",110,2,220,UPI
18,maida,2023-05-26,"[7, 8, 9]",20,9,180,UPI
11,dantkanti,2023-05-26,"[4, 5, 6]",100,1,100,UPI
6,sugar,2023-05-26,"[1, 2, 3]",50,10,500,UPI
1,clinic plus,2023-05-26,"[4, 5, 6]",1.5,7,10.5,UPI
10,nutrella,2023-05-26,"[1, 2, 3]",40,5,200,UPI
2,quaker oats,2023-05-26,"[1, 2, 3]",212,10,2120,UPI
19,dantkanti,2023-05-26,"[4, 5, 6]",100,10,1000,cash
3,maida,2023-05-26,"[4, 5, 6]",20,3,60,cash
19,clinic plus,2023-05-26,"[4, 5, 6]",1.5,5,7.5,cash
11,sugar,2023-05-26,"[4, 5, 6]",50,8,400,cash
2,sugar,2023-05-26,"[4, 5, 6]",50,10,500,cash
9,refined oil,2023-05-26,"[1, 2, 3]",110,2,220,UPI
5,besan,2023-05-26,"[4, 5, 6]",52,3,156,UPI
10,sugar,2023-05-26,"[1, 2, 3]",50,4,200,cash
18,refined oil,2023-05-26,"[4, 5, 6]",110,4,440,cash
15,refined oil,2023-05-26,"[4, 5, 6]",110,1,110,UPI
3,nutrella,2023-05-26,"[7, 8, 9]",40,1,40,UPI
2,refined oil,2023-05-26,"[7, 8, 9]",110,9,990,cash
5,dantkanti,2023-05-26,"[4, 5, 6]",100,10,1000,cash
17,besan,2023-05-26,"[1, 2, 3]",52,9,468,cash
15,besan,2023-05-26,"[7, 8, 9]",52,8,416,cash
19,dantkanti,2023-05-26,"[7, 8, 9]",100,8,800,UPI
15,besan,2023-05-26,"[7, 8, 9]",52,8,416,cash
9,quaker oats,2023-05-26,"[7, 8, 9]",212,6,1272,cash
10,nutrella,2023-05-26,"[1, 2, 3]",40,9,360,cash
4,quaker oats,2023-05-26,"[4, 5, 6]",212,4,848,cash
13,sugar,2023-05-26,"[1, 2, 3]",50,9,450,UPI
18,maida,2023-05-26,"[1, 2, 3]",20,1,20,UPI
16,refined oil,2023-05-26,"[7, 8, 9]",110,4,440,cash
16,dantkanti,2023-05-26,"[1, 2, 3]",100,7,700,UPI
3,maida,2023-05-26,"[1, 2, 3]",20,5,100,UPI
14,maida,2023-05-26,"[1, 2, 3]",20,6,120,cash
15,clinic plus,2023-05-26,"[7, 8, 9]",1.5,6,9.0,cash
4,maida,2023-05-26,"[1, 2, 3]",20,8,160,cash
14,sugar,2023-05-26,"[7, 8, 9]",50,4,200,UPI
10,nutrella,2023-05-26,"[1, 2, 3]",40,9,360,UPI
1,maida,2023-05-26,"[1, 2, 3]",20,4,80,UPI
3,quaker oats,2023-05-26,"[4, 5, 6]",212,8,1696,UPI
4,besan,2023-05-26,"[7, 8, 9]",52,4,208,UPI
7,sugar,2023-05-26,"[4, 5, 6]",50,6,300,UPI
9,dantkanti,2023-05-26,"[4, 5, 6]",100,3,300,UPI
13,dantkanti,2023-05-26,"[7, 8, 9]",100,7,700,UPI
9,sugar,2023-05-26,"[1, 2, 3]",50,5,250,UPI
3,quaker oats,2023-05-26,"[4, 5, 6]",212,9,1908,cash
2,dantkanti,2023-05-26,"[7, 8, 9]",100,5,500,cash
15,quaker oats,2023-05-26,"[1, 2, 3]",212,4,848,cash
11,clinic plus,2023-05-26,"[7, 8, 9]",1.5,2,3.0,UPI
7,besan,2023-05-26,"[4, 5, 6]",52,8,416,cash
17,nutrella,2023-05-26,"[7, 8, 9]",40,9,360,cash
9,quaker oats,2023-05-26,"[4, 5, 6]",212,3,636,cash
12,dantkanti,2023-05-26,"[1, 2, 3]",100,10,1000,UPI
7,besan,2023-05-26,"[4, 5, 6]",52,2,104,cash
3,refined oil,2023-05-26,"[7, 8, 9]",110,10,1100,UPI
1,nutrella,2023-05-26,"[1, 2, 3]",40,8,320,cash
15,nutrella,2023-05-26,"[1, 2, 3]",40,7,280,cash
10,nutrella,2023-05-26,"[1, 2, 3]",40,6,240,cash
7,clinic plus,2023-05-26,"[1, 2, 3]",1.5,7,10.5,UPI
6,quaker oats,2023-05-26,"[1, 2, 3]",212,8,1696,UPI
10,sugar,2023-05-26,"[4, 5, 6]",50,3,150,cash
18,refined oil,2023-05-26,"[4, 5, 6]",110,3,330,UPI
16,nutrella,2023-05-26,"[4, 5, 6]",40,7,280,cash
7,nutrella,2023-05-26,"[7, 8, 9]",40,6,240,cash
17,refined oil,2023-05-26,"[4, 5, 6]",110,5,550,cash
14,refined oil,2023-05-26,"[7, 8, 9]",110,2,220,UPI
3,sugar,2023-05-26,"[1, 2, 3]",50,10,500,UPI
12,refined oil,2023-05-26,"[1, 2, 3]",110,7,770,cash
5,dantkanti,2023-05-26,"[7, 8, 9]",100,10,1000,UPI
4,refined oil,2023-05-26,"[4, 5, 6]",110,3,330,cash
19,dantkanti,2023-05-26,"[4, 5, 6]",100,5,500,UPI
2,sugar,2023-05-26,"[7, 8, 9]",50,3,150,cash
11,nutrella,2023-05-26,"[1, 2, 3]",40,1,40,UPI
10,besan,2023-05-26,"[4, 5, 6]",52,6,312,UPI
3,clinic plus,2023-05-26,"[7, 8, 9]",1.5,5,7.5,UPI
10,besan,2023-05-26,"[1, 2, 3]",52,8,416,UPI
16,sugar,2023-05-26,"[1, 2, 3]",50,2,100,UPI
1,clinic plus,2023-05-26,"[7, 8, 9]",1.5,9,13.5,cash
4,sugar,2023-05-26,"[4, 5, 6]",50,5,250,cash
9,clinic plus,2023-05-26,"[1, 2, 3]",1.5,9,13.5,cash
9,dantkanti,2023-05-26,"[7, 8, 9]",100,8,800,UPI
9,sugar,2023-05-26,"[1, 2, 3]",50,1,50,UPI
10,quaker oats,2023-05-26,"[7, 8, 9]",212,3,636,cash
1,besan,2023-05-26,"[1, 2, 3]",52,10,520,cash
18,maida,2023-05-26,"[7, 8, 9]",20,2,40,cash
3,sugar,2023-05-26,"[1, 2, 3]",50,8,400,UPI
14,sugar,2023-05-26,"[1, 2, 3]",50,1,50,UPI
20,clinic plus,2023-05-26,"[7, 8, 9]",1.5,3,4.5,cash
1,refined oil,2023-05-26,"[7, 8, 9]",110,7,770,UPI
6,clinic plus,2023-05-26,"[7, 8, 9]",1.5,5,7.5,cash
8,clinic plus,2023-05-26,"[7, 8, 9]",1.5,1,1.5,UPI
7,dantkanti,2023-05-26,"[1, 2, 3]",100,8,800,cash
7,sugar,2023-05-26,"[1, 2, 3]",50,7,350,UPI
8,sugar,2023-05-26,"[7, 8, 9]",50,5,250,UPI
6,refined oil,2023-05-26,"[7, 8, 9]",110,6,660,cash
2,clinic plus,2023-05-26,"[1, 2, 3]",1.5,8,12.0,cash
11,dantkanti,2023-05-26,"[1, 2, 3]",100,4,400,UPI
5,dantkanti,2023-05-26,"[7, 8, 9]",100,5,500,UPI
16,besan,2023-05-26,"[4, 5, 6]",52,6,312,UPI
12,refined oil,2023-05-26,"[7, 8, 9]",110,6,660,cash
6,clinic plus,2023-05-26,"[4, 5, 6]",1.5,7,10.5,UPI
14,besan,2023-05-26,"[7, 8, 9]",52,5,260,UPI
17,maida,2023-05-26,"[4, 5, 6]",20,1,20,cash
16,sugar,2023-05-26,"[1, 2, 3]",50,7,350,cash
7,refined oil,2023-05-26,"[4, 5, 6]",110,2,220,UPI
5,quaker oats,2023-05-26,"[1, 2, 3]",212,7,1484,UPI
2,besan,2023-05-26,"[4, 5, 6]",52,10,520,UPI
3,sugar,2023-05-26,"[1, 2, 3]",50,5,250,cash
14,quaker oats,2023-05-26,"[1, 2, 3]",212,7,1484,cash
3,clinic plus,2023-05-26,"[7, 8, 9]",1.5,5,7.5,UPI
19,maida,2023-05-26,"[4, 5, 6]",20,2,40,cash
7,maida,2023-05-26,"[1, 2, 3]",20,7,140,UPI
13,nutrella,2023-05-26,"[1, 2, 3]",40,2,80,UPI
15,besan,2023-05-26,"[1, 2, 3]",52,9,468,UPI
11,quaker oats,2023-05-26,"[1, 2, 3]",212,3,636,UPI
11,refined oil,2023-05-26,"[7, 8, 9]",110,9,990,cash
13,dantkanti,2023-05-26,"[1, 2, 3]",100,8,800,cash
14,nutrella,2023-05-26,"[1, 2, 3]",40,8,320,cash
6,quaker oats,2023-05-26,"[4, 5, 6]",212,5,1060,UPI
12,sugar,2023-05-26,"[4, 5, 6]",50,2,100,cash
8,sugar,2023-05-26,"[1, 2, 3]",50,7,350,UPI
5,besan,2023-05-26,"[4, 5, 6]",52,8,416,UPI
17,maida,2023-05-26,"[4, 5, 6]",20,3,60,UPI
13,besan,2023-05-26,"[1, 2, 3]",52,8,416,cash
2,maida,2023-05-26,"[4, 5, 6]",20,9,180,cash
18,dantkanti,2023-05-26,"[7, 8, 9]",100,5,500,UPI
17,maida,2023-05-26,"[1, 2, 3]",20,6,120,cash
17,refined oil,2023-05-26,"[1, 2, 3]",110,7,770,UPI
13,sugar,2023-05-26,"[7, 8, 9]",50,9,450,UPI
18,sugar,2023-05-26,"[7, 8, 9]",50,1,50,UPI
18,besan,2023-05-26,"[7, 8, 9]",52,10,520,UPI
13,nutrella,2023-05-26,"[4, 5, 6]",40,7,280,cash
10,dantkanti,2023-05-26,"[7, 8, 9]",100,4,400,UPI
10,refined oil,2023-05-26,"[7, 8, 9]",110,1,110,cash
16,refined oil,2023-05-26,"[4, 5, 6]",110,10,1100,cash
13,refined oil,2023-05-26,"[1, 2, 3]",110,9,990,cash
4,refined oil,2023-05-26,"[1, 2, 3]",110,8,880,cash
12,dantkanti,2023-05-26,"[4, 5, 6]",100,8,800,cash
6,clinic plus,2023-05-26,"[1, 2, 3]",1.5,7,10.5,cash
9,refined oil,2023-05-26,"[4, 5, 6]",110,8,880,cash
7,besan,2023-05-26,"[7, 8, 9]",52,6,312,UPI
7,nutrella,2023-05-26,"[7, 8, 9]",40,3,120,cash
8,dantkanti,2023-05-26,"[4, 5, 6]",100,1,100,cash
12,maida,2023-05-26,"[1, 2, 3]",20,9,180,cash
12,maida,2023-05-26,"[4, 5, 6]",20,8,160,cash
10,clinic plus,2023-05-26,"[1, 2, 3]",1.5,6,9.0,cash
4,refined oil,2023-05-26,"[4, 5, 6]",110,10,1100,cash
1,quaker oats,2023-05-26,"[4, 5, 6]",212,2,424,UPI
12,besan,2023-05-26,"[7, 8, 9]",52,7,364,cash
19,besan,2023-05-26,"[4, 5, 6]",52,10,520,cash
18,maida,2023-05-26,"[7, 8, 9]",20,4,80,cash
9,sugar,2023-05-26,"[1, 2, 3]",50,7,350,UPI
15,dantkanti,2023-05-26,"[4, 5, 6]",100,7,700,UPI
15,sugar,2023-05-26,"[1, 2, 3]",50,7,350,UPI
12,clinic plus,2023-05-26,"[4, 5, 6]",1.5,4,6.0,UPI
15,nutrella,2023-05-26,"[1, 2, 3]",40,1,40,UPI
15,dantkanti,2023-05-26,"[4, 5, 6]",100,7,700,cash
15,refined oil,2023-05-26,"[7, 8, 9]",110,10,1100,UPI
7,maida,2023-05-26,"[7, 8, 9]",20,4,80,UPI
2,dantkanti,2023-05-26,"[7, 8, 9]",100,2,200,cash
1,clinic plus,2023-05-26,"[1, 2, 3]",1.5,5,7.5,UPI
17,refined oil,2023-05-26,"[4, 5, 6]",110,6,660,UPI
8,quaker oats,2023-05-26,"[7, 8, 9]",212,7,1484,cash
3,maida,2023-05-26,"[1, 2, 3]",20,5,100,UPI
1,clinic plus,2023-05-26,"[4, 5, 6]",1.5,7,10.5,cash
8,nutrella,2023-05-26,"[1, 2, 3]",40,8,320,UPI
17,besan,2023-05-26,"[1, 2, 3]",52,9,468,cash
4,refined oil,2023-05-26,"[1, 2, 3]",110,1,110,UPI
7,quaker oats,2023-05-26,"[1, 2, 3]",212,8,1696,cash
11,maida,2023-05-26,"[1, 2, 3]",20,3,60,cash
6,refined oil,2023-05-26,"[4, 5, 6]",110,6,660,cash
16,refined oil,2023-05-26,"[1, 2, 3]",110,8,880,cash
11,sugar,2023-05-26,"[1, 2, 3]",50,10,500,cash
17,maida,2023-05-26,"[4, 5, 6]",20,5,100,cash
3,besan,2023-05-26,"[4, 5, 6]",52,8,416,cash
9,refined oil,2023-05-26,"[4, 5, 6]",110,2,220,cash
19,nutrella,2023-05-26,"[4, 5, 6]",40,1,40,UPI
